,index,xi_0,observations,order,run_id,step
0,0,55.9566,3.057892322540283,1,1,1
1,1,80.59944,0.0,2,1,1
2,2,91.46321,0.0,3,1,1
3,3,96.24942,0.0,4,1,1
4,4,98.35219,0.0,5,1,1
5,0,55.52645,2.7094216346740723,1,1,201
6,1,80.21057,0.0,2,1,201
7,2,91.205826,0.0,3,1,201
8,3,96.1063,0.0,4,1,201
9,4,98.2792,0.0,5,1,201
10,0,56.369934,3.3685286045074463,1,1,401
11,1,81.097015,0.0,2,1,401
12,2,91.86744,0.0,3,1,401
13,3,96.51666,0.0,4,1,401
14,4,98.51222,0.0,5,1,401
15,0,56.50128,3.3991501331329346,1,1,601
16,1,81.11708,0.0,2,1,601
17,2,91.88695,0.0,3,1,601
18,3,96.54561,0.0,4,1,601
19,4,98.53729,0.0,5,1,601
20,0,56.11238,3.5315003395080566,1,1,801
21,1,81.00639,0.0,2,1,801
22,2,91.7509,0.0,3,1,801
23,3,96.38613,0.0,4,1,801
24,4,98.40217,0.0,5,1,801
