,index,xi_0,observations,order,run_id,step
0,0,44.670567,6.17385721206665,1,1,1
1,1,69.36407,1.0587499141693115,2,1,1
2,2,83.05306,0.0,3,1,1
3,3,90.628746,0.0,4,1,1
4,4,94.81809,0.0,5,1,1
5,0,44.69681,6.056248664855957,1,1,201
6,1,69.39177,1.0742416381835938,2,1,201
7,2,83.01195,0.0,3,1,201
8,3,90.539505,0.0,4,1,201
9,4,94.716866,0.0,5,1,201
10,0,44.617218,5.8710174560546875,1,1,401
11,1,69.264206,0.9453132152557373,2,1,401
12,2,82.83874,0.0,3,1,401
13,3,90.366936,0.0,4,1,401
14,4,94.57247,0.0,5,1,401
15,0,44.41894,5.812679767608643,1,1,601
16,1,69.09637,1.111837387084961,2,1,601
17,2,82.699005,0.0,3,1,601
18,3,90.24766,0.0,4,1,601
19,4,94.47659,0.0,5,1,601
20,0,43.767067,6.200298309326172,1,1,801
21,1,68.49495,1.2858147621154785,2,1,801
22,2,82.19127,0.0,3,1,801
23,3,89.88405,0.0,4,1,801
24,4,94.23893,0.0,5,1,801
