,index,xi_0,observations,order,run_id,step
0,0,47.769413,6.410246849060059,1,1,1
1,1,72.72009,2.032186269760132,2,1,1
2,2,85.77364,0.0,3,1,1
3,3,92.58335,0.0,4,1,1
4,4,96.13177,0.0,5,1,1
5,0,47.36564,6.2126922607421875,1,1,201
6,1,72.05414,1.3442749977111816,2,1,201
7,2,85.08413,0.0,3,1,201
8,3,91.987076,0.0,4,1,201
9,4,95.667076,0.0,5,1,201
10,0,47.179245,6.112335205078125,1,1,401
11,1,71.94458,1.1871477365493774,2,1,401
12,2,85.42472,0.0,3,1,401
13,3,92.53681,0.0,4,1,401
14,4,96.17908,0.0,5,1,401
15,0,46.090946,5.290472030639648,1,1,601
16,1,70.81147,0.9723680019378662,2,1,601
17,2,84.2637,0.0,3,1,601
18,3,91.66283,0.0,4,1,601
19,4,95.63498,0.0,5,1,601
20,0,45.604214,5.660922050476074,1,1,801
21,1,70.818146,0.9938403367996216,2,1,801
22,2,85.38282,0.0,3,1,801
23,3,93.27544,0.0,4,1,801
24,4,97.12052,0.0,5,1,801
