,index,xi_0,observations,order,run_id,step
0,0,50.235798,4.581383228302002,1,1,1
1,1,75.218506,0.6549755334854126,2,1,1
2,2,87.64892,0.0,3,1,1
3,3,93.83525,0.0,4,1,1
4,4,96.918076,0.0,5,1,1
5,0,48.68552,5.006924152374268,1,1,201
6,1,73.59034,0.9839288592338562,2,1,201
7,2,86.298615,0.0,3,1,201
8,3,92.885124,0.0,4,1,201
9,4,96.31,0.0,5,1,201
10,0,46.712006,5.598737716674805,1,1,401
11,1,71.79752,1.059854507446289,2,1,401
12,2,84.881645,0.0,3,1,401
13,3,91.91296,0.0,4,1,401
14,4,95.70322,0.0,5,1,401
15,0,45.079628,5.6331467628479,1,1,601
16,1,72.90671,1.292583703994751,2,1,601
17,2,86.6687,0.0,3,1,601
18,3,93.41951,0.0,4,1,601
19,4,96.738464,0.0,5,1,601
20,0,44.543858,5.560695171356201,1,1,801
21,1,72.721344,2.032186269760132,2,1,801
22,2,86.75963,0.0,3,1,801
23,3,93.51688,0.0,4,1,801
24,4,96.740654,0.0,5,1,801
