,index,xi_0,observations,order,run_id,step
0,0,48.46676,5.90595817565918,1,1,1
1,1,73.436966,0.943631112575531,2,1,1
2,2,86.317696,0.0,3,1,1
3,3,92.9541,0.0,4,1,1
4,4,96.37035,0.0,5,1,1
5,0,46.74683,5.5711469650268555,1,1,201
6,1,71.67804,1.125325322151184,2,1,201
7,2,84.85957,0.0,3,1,201
8,3,91.88332,0.0,4,1,201
9,4,95.6408,0.0,5,1,201
10,0,46.591724,5.6246747970581055,1,1,401
11,1,71.65596,1.124863624572754,2,1,401
12,2,84.88109,0.0,3,1,401
13,3,91.89008,0.0,4,1,401
14,4,95.62882,0.0,5,1,401
15,0,45.997887,5.495239734649658,1,1,601
16,1,71.68658,1.1895849704742432,2,1,601
17,2,84.8239,0.0,3,1,601
18,3,91.720055,0.0,4,1,601
19,4,95.42823,0.0,5,1,601
20,0,44.72848,5.667182922363281,1,1,801
21,1,69.76025,0.9871729016304016,2,1,801
22,2,82.90655,0.0,3,1,801
23,3,90.23335,0.0,4,1,801
24,4,94.40145,0.0,5,1,801
