,index,xi_0,observations,order,run_id,step
0,0,43.8992,6.335292816162109,1,1,1
1,1,68.5185,1.308395504951477,2,1,1
2,2,82.31236,0.0,3,1,1
3,3,90.05163,0.0,4,1,1
4,4,94.39919,0.0,5,1,1
5,0,44.119755,6.038325786590576,1,1,201
6,1,68.683014,1.386932134628296,2,1,201
7,2,82.37493,0.0,3,1,201
8,3,90.04001,0.0,4,1,201
9,4,94.35433,0.0,5,1,201
10,0,43.826817,6.515821933746338,1,1,401
11,1,69.072395,1.100476861000061,2,1,401
12,2,83.535866,0.0,3,1,401
13,3,91.43604,0.0,4,1,401
14,4,95.60384,0.0,5,1,401
15,0,41.56973,8.666147232055664,1,1,601
16,1,65.867355,0.8156368732452393,2,1,601
17,2,79.962616,0.0,3,1,601
18,3,88.25029,0.0,4,1,601
19,4,93.13904,0.0,5,1,601
20,0,39.75272,13.264969825744629,1,1,801
21,1,67.6045,1.1312980651855469,2,1,801
22,2,84.44421,0.0,3,1,801
23,3,93.32363,0.0,4,1,801
24,4,97.3047,0.0,5,1,801
